title,url,time,source,file_type,file_type_2
来访必要性说明,https://oic.ustc.edu.cn/download/%e6%9d%a5%e8%ae%bf%e5%bf%85%e8%a6%81%e6%80%a7%e8%af%b4%e6%98%8e-2/,2022-11-14,国际合作与交流部,来访文档,
来访邀请流程填报类型参照,https://oic.ustc.edu.cn/download/%e6%b5%81%e7%a8%8b%e5%a1%ab%e6%8a%a5%e7%b1%bb%e5%9e%8b%e5%8f%82%e7%85%a7/,2022-7-13,国际合作与交流部,来访文档,
远程协议模板,https://oic.ustc.edu.cn/download/%e8%bf%9c%e7%a8%8b%e5%8d%8f%e8%ae%ae%e6%a8%a1%e6%9d%bf/,2021-9-30,国际合作与交流部,来访文档,
中科院新一代ARP系统使用方法,https://oic.ustc.edu.cn/download/%e4%b8%ad%e7%a7%91%e9%99%a2%e6%96%b0%e4%b8%80%e4%bb%a3arp%e7%b3%bb%e7%bb%9f%e4%bd%bf%e7%94%a8%e6%96%b9%e6%b3%95/,2021-3-22,国际合作与交流部,来访文档,
保证书模板,https://oic.ustc.edu.cn/download/%e4%bf%9d%e8%af%81%e4%b9%a6%e6%a8%a1%e6%9d%bf/,2020-9-17,国际合作与交流部,来访文档,
高层次中长期境外专家公寓分配介绍信,https://oic.ustc.edu.cn/download/%e9%ab%98%e5%b1%82%e6%ac%a1%e4%b8%ad%e9%95%bf%e6%9c%9f%e5%a2%83%e5%a4%96%e4%b8%93%e5%ae%b6%e5%85%ac%e5%af%93%e5%88%86%e9%85%8d%e4%bb%8b%e7%bb%8d%e4%bf%a1/,2020-9-3,国际合作与交流部,来访文档,
来校访问学者医疗保险承诺书,https://oic.ustc.edu.cn/download/%e6%9d%a5%e6%a0%a1%e8%ae%bf%e9%97%ae%e5%ad%a6%e8%80%85%e5%8c%bb%e7%96%97%e4%bf%9d%e9%99%a9%e6%89%bf%e8%af%ba%e4%b9%a6/,2020-9-3,国际合作与交流部,来访文档,
与外专签订合同模板（英文版）,https://oic.ustc.edu.cn/download/%e4%b8%8e%e5%a4%96%e4%b8%93%e7%ad%be%e8%ae%a2%e5%90%88%e5%90%8c%e6%a8%a1%e6%9d%bf%ef%bc%88%e8%8b%b1%e6%96%87%e7%89%88%ef%bc%89/,2020-9-3,国际合作与交流部,来访文档,
中国科学技术大学外事来访呈批表模板,https://oic.ustc.edu.cn/download/%e4%b8%ad%e5%9b%bd%e7%a7%91%e5%ad%a6%e6%8a%80%e6%9c%af%e5%a4%a7%e5%ad%a6%e5%a4%96%e4%ba%8b%e6%9d%a5%e8%ae%bf%e5%91%88%e6%89%b9%e8%a1%a8%e6%a8%a1%e6%9d%bf/,2020-9-3,国际合作与交流部,来访文档,
USTC International Visit Registration Form,https://oic.ustc.edu.cn/download/ustc-international-visit-registration-form/,2020-9-3,国际合作与交流部,来访文档,
